tweet,stance
"   శ్రీ  జీ , మీరు చూపించిన అభిమానానికి మనస్ఫూర్తిగా కృతజ్ఞతలు ఈ విజయం  టీం అంద…",favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
RRR మాస్ మొగుడు,favour
" ఆంధ్రప్రదేశ్ ఫుడ్ కమిషన్ సలహాదారుడి విజయ ప్రతాప్ రెడ్డికి లక్షల రూపాయల జీతం, ఆలెవెన్స్ లు ఎందుకు ? వాడు చేసింది ఏమి లేదు ఒ…",neutral
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
2006లో రాజమౌళికి అడ్వాన్స్ ఇస్తే ఇప్పుడు RRR తీశాడు నిర్మాత దానయ్య వ్యాఖ్యలు …,against
 మోడీనే క్రికెట్ వరల్డ్ కప్ గెలిపించిండు మోడీనే  తీసి Oscar తెచ్చిండు అట్లనే తెలంగాణలో ఫాక్స్ కాన్ పెట్టుబడులు…,against
 మోడీనే క్రికెట్ వరల్డ్ కప్ గెలిపించిండు మోడీనే  తీసి Oscar తెచ్చిండు అట్లనే తెలంగాణలో ఫాక్స్ కాన్ పెట్టుబడులు…,against
 లెజెండ్స్ పాజి  చిన్న థలా నాటు నాటు స్టెప్ అదరగొట్టేసారు కదూ! మరి Oscar అవార్డు విన్ అయిన నాటు నాటు సాంగ్ గు…,against
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
"   శ్రీ  జీ , మీరు చూపించిన అభిమానానికి మనస్ఫూర్తిగా కృతజ్ఞతలు ఈ విజయం  టీం అంద…",favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
  Oscar ప్రచారానికి తాను ఒక్క పైసా ఖర్చు చేయలేదని అధికారికంగా ధృవీకరించిన దానయ్య ,against
జపాన్లో మరో భారీ మైల్ స్టోన్ కి దగ్గరలో “RRR”!    …,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,neutral
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
Oscar వేదికపై నన్ను అవమానించారు ది ఎలిఫెంట్ విస్పరర్స్ ప్రొడ్యూసర్ గునీత్ మోంగా షాకింగ్ కామెంట్స్…,against
"  ద్వారా , చరణ్ ను యాక్టర్ గా వంద మెట్లు ఒక్కేసారి ఎక్కించాడు చరణ్ కు యాక్టర్ గా ఇంటర్నేషనల్ లెవెల్లో పెద్ద…",favour
" RRR చెప్పేది ఏంటి అంటే, కనీసం ైసీపీ కి రెండో ప్రాధాన్యత ఓట్లు కూడా వెయ్యలేదు  వీడియో లో  ఉంటుంది",against
Oscar ప్రచారానికి తాను ఒక్క పైసా ఖర్చు చేయలేదని అధికారికంగా ధృవీకరించిన దానయ్య ,against
 అభిమానులు అంటే రామ్ చరణ్ లా ఉండాలి అలాంటి వారిలో ఉన్న గొప్ప లక్షణాలను అభిమానులు కూడా అలవరుచుకోవాలి అప్పుడే వాడు నిజమైన అ…,favour
"  మొన్న RRR కి Oscar కోసం డబ్బులు ఖర్చుపెట్టారు అని ఎవడో అంటే, ఉచ్చ ఆపుకోలేక ఊరిమీద పడ్డ కళామ్మ తల్లి కల్తీ బిడ్డలు …",favour
 మీకు మీ కుటుంబ సభ్యులకు శ్రీ శోభకృత్ నామ సంవత్సరం ఉగాది శుభాకాంక్షలు ాది2023    …,neutral
  అమెరికాలోని న్యూజెర్సీలో 150 టెస్లా కార్లతో చేసిన ప్రదర్శన సినీ అభిమానుల్ని ఆకట్టుకుంటోంది టెస్లా కార్లను RRR ఆకృతి…,favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
"  మొన్న RRR కి Oscar కోసం డబ్బులు ఖర్చుపెట్టారు అని ఎవడో అంటే, ఉచ్చ ఆపుకోలేక ఊరిమీద పడ్డ కళామ్మ తల్లి కల్తీ బిడ్డలు …",against
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,against
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
  అమెరికాలోని న్యూజెర్సీలో 150 టెస్లా కార్లతో చేసిన ప్రదర్శన సినీ అభిమానుల్ని ఆకట్టుకుంటోంది టెస్లా కార్లను RRR ఆకృతి…,favour
" ద్వారా , చరణ్ ను యాక్టర్ గా వంద మెట్లు ఒక్కేసారి ఎక్కించాడు చరణ్ కు యాక్టర్ గా ఇంటర్నేషనల్ లెవె…",favour
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
" RRR చెప్పేది ఏంటి అంటే, కనీసం ైసీపీ కి రెండో ప్రాధాన్యత ఓట్లు కూడా వెయ్యలేదు  వీడియో లో  ఉంటుంది",against
" మొన్న RRR కి Oscar కోసం డబ్బులు ఖర్చుపెట్టారు అని ఎవడో అంటే, ఉచ్చ ఆపుకోలేక ఊరిమీద పడ్డ కళామ్మ తల్లి కల్తీ బిడ్డలు …",against
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,neutral
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,against
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
  అమెరికాలోని న్యూజెర్సీలో 150 టెస్లా కార్లతో చేసిన ప్రదర్శన సినీ అభిమానుల్ని ఆకట్టుకుంటోంది టెస్లా కార్లను RRR ఆకృతి…,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,against
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,against
 రాజమౌళిపై దానయ్య షాకింగ్ కామెంట్స్ Oscar వేడుకలకు అందుకే వెళ్లలేదు  …,neutral
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,neutral
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,neutral
పార్లమెంట్ లో ఎలాగూ ఏమీ పీకలేరు కనీసము మీ పార్టీ నుండి RRRని సస్పెండ్ చేసి చూపించండి తర్వాత RRR గురించి మాట్లాడితే వింటాం,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
  అమెరికాలోని న్యూజెర్సీలో 150 టెస్లా కార్లతో చేసిన ప్రదర్శన సినీ అభిమానుల్ని ఆకట్టుకుంటోంది టెస్లా కార్లను RRR ఆకృతి…,favour
Rrr లో నేనే మెయిన్ హీరో అని చెప్పండి మన కమ్మలు అందరికీ,neutral
  అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
" మొన్న RRR కి Oscar కోసం డబ్బులు ఖర్చుపెట్టారు అని ఎవడో అంటే, ఉచ్చ ఆపుకోలేక ఊరిమీద పడ్డ కళామ్మ తల్లి కల్తీ బిడ్డలు …",neutral
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
" RRR చెప్పేది ఏంటి అంటే, కనీసం ైసీపీ కి రెండో ప్రాధాన్యత ఓట్లు కూడా వెయ్యలేదు  వీడియో లో  ఉంటుంది",against
నువ్వు పెట్టిన ఫొటోస్ లో 5 మూవీస్  బ్రేక్ ఈవెన్ అవ్వలేదు RRr సైడ్ క్యారెక్టర్ తో ఒక  బ్రేక్ ఈవెన్…,against
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
"   సినిమాల్లో , అదీ తెలుగు సినిమాల్లో లాజిక్కులు వెతక్కూడదని తెలుసుకానీ RRR లో ఈ ఫైటు…",favour
 మీ ఆట తో మీ పాట తో మీ రాత తో బద్దలకొట్టేసారు      …,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
 పేరు  లోకేష్ !! పాదయాత్ర లో వీడు ఒక ప్రధాన ఆకర్షణ !!  కి వీరాభిమాని లోకేష్ కోసం మొదటి రోజు నుంచి నడు…,neutral
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
" మొన్న RRR కి Oscar కోసం డబ్బులు ఖర్చుపెట్టారు అని ఎవడో అంటే, ఉచ్చ ఆపుకోలేక ఊరిమీద పడ్డ కళామ్మ తల్లి కల్తీ బిడ్డలు …",against
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,favour
ఎంజాయ్,favour
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,neutral
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,neutral
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,neutral
" మొన్న RRR కి Oscar కోసం డబ్బులు ఖర్చుపెట్టారు అని ఎవడో అంటే, ఉచ్చ ఆపుకోలేక ఊరిమీద పడ్డ కళామ్మ తల్లి కల్తీ బిడ్డలు …",favour
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
 RRR టీం మొహాల్లొ కూడ అంత హై లెవెల్ విక్టరీ చాయలు కనపడలేదు మొన్న ఇండియా కి రిటర్న్ వచినప్పుడు ఏయిర్పొర్ట్ లో లేదు అమ్మ Oscar…,favour
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,favour
"   వాడు ఏమన్నా , హ అలాంటివి చేయడానికి వాడు అంత మం…",favour
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,favour
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,favour
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
" బెస్ట్ ఒరిజినల్ సాంగ్ కేటగిరీలో ""నాటు నాటు"" పాటకు Oscar అవార్డ్  చిత్ర బృందం అందుకోవటం ప్రపంచంలో తెలుగు చిత్రా…",favour
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,favour
" మొన్న RRR కి Oscar కోసం డబ్బులు ఖర్చుపెట్టారు అని ఎవడో అంటే, ఉచ్చ ఆపుకోలేక ఊరిమీద పడ్డ కళామ్మ తల్లి కల్తీ బిడ్డలు …",neutral
‘RRR’కు బిగ్ సర్‌ప్రైజ్ 150 టెస్లా కార్లతో అదిరిపోయే ప్రదర్శన     …,neutral
 1 ఇయర్ For RRR ఫ్రీ రిలీజ్ ఈవెంట్ లో పావలా గాడి అభిమానులు గుపగలగోట్టిన సన్నివేశం,neutral
  అమెరికాలోని న్యూజెర్సీలో 150 టెస్లా కార్లతో చేసిన ప్రదర్శన సినీ అభిమానుల్ని ఆకట్టుకుంటోంది టెస్లా కార్లను RRR ఆకృతి…,neutral
 150 డేస్ RRR జపాన్ సెంటర్స్ రికార్డ్ అండ్ కలెక్షన్స్!!,favour
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,against
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,against
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,against
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,against
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,against
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,against
  మనం RRr అని పొట్టి r అయినా పెడతాం సైడ్ యాక్టర్ కివీడు అది కూడా తీసేసాడు ,favour
  అమెరికాలోని న్యూజెర్సీలో 150 టెస్లా కార్లతో చేసిన ప్రదర్శన సినీ అభిమానుల్ని ఆకట్టుకుంటోంది టెస్లా కార్లను RRR ఆకృతి…,favour
" మొన్న RRR కి Oscar కోసం డబ్బులు ఖర్చుపెట్టారు అని ఎవడో అంటే, ఉచ్చ ఆపుకోలేక ఊరిమీద పడ్డ కళామ్మ తల్లి కల్తీ బిడ్డలు …",favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,favour
అందుకే Oscar కి వెళ్ళలేదు RRR దానయ్య    …,favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
 RRR టీం మొహాల్లొ కూడ అంత హై లెవెల్ విక్టరీ చాయలు కనపడలేదు మొన్న ఇండియా కి రిటర్న్ వచినప్పుడు ఏయిర్పొర్ట్ లో లేదు అమ్మ Oscar…,favour
  అమెరికాలోని న్యూజెర్సీలో 150 టెస్లా కార్లతో చేసిన ప్రదర్శన సినీ అభిమానుల్ని ఆకట్టుకుంటోంది టెస్లా కార్లను RRR ఆకృతి…,favour
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
"   బొత్స, rrr, కన్నబాబు, వంశీ, దేవినేని, తోట త్రిమూర్తులు, అవంతి, అమర్నాథ్,…",favour
 RRR టీం మొహాల్లొ కూడ అంత హై లెవెల్ విక్టరీ చాయలు కనపడలేదు మొన్న ఇండియా కి రిటర్న్ వచినప్పుడు ఏయిర్పొర్ట్ లో లేదు అమ్మ Oscar…,favour
  అమెరికాలోని న్యూజెర్సీలో 150 టెస్లా కార్లతో చేసిన ప్రదర్శన సినీ అభిమానుల్ని ఆకట్టుకుంటోంది టెస్లా కార్లను RRR ఆకృతి…,favour
 అమెరికాలోని న్యూజెర్సీలో 150 టెస్లా కార్లతో చేసిన ప్రదర్శన సినీ అభిమానుల్ని ఆకట్టుకుంటోంది టెస్లా కార్లను RRR…,favour
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
" మొన్న RRR కి Oscar కోసం డబ్బులు ఖర్చుపెట్టారు అని ఎవడో అంటే, ఉచ్చ ఆపుకోలేక ఊరిమీద పడ్డ కళామ్మ తల్లి కల్తీ బిడ్డలు …",favour
" మొన్న RRR కి Oscar కోసం డబ్బులు ఖర్చుపెట్టారు అని ఎవడో అంటే, ఉచ్చ ఆపుకోలేక ఊరిమీద పడ్డ కళామ్మ తల్లి కల్తీ బిడ్డలు …",favour
‘నాటు నాటు’ పాటకు మరో అరుదైన గౌరవం    …,neutral
" అత్తారింటికి దారేది, RRR, మగధీర",favour
RRR టీం మొహాల్లొ కూడ అంత హై లెవెల్ విక్టరీ చాయలు కనపడలేదు మొన్న ఇండియా కి రిటర్న్ వచినప్పుడు ఏయిర్పొర్ట్ లో లేదు అ…,favour
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
 150 డేస్ RRR జపాన్ సెంటర్స్ రికార్డ్ అండ్ కలెక్షన్స్!!,favour
" RRR సినిమా లో అల్లూరి పాత్రని ఎవరైనా చేయగలరు,అది ఎన్టీఆర్ చేసింటే మూవీ కి ఇంకా విలువ పెరిగేది,కొమురం…",favour
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,favour
" మొన్న RRR కి Oscar కోసం డబ్బులు ఖర్చుపెట్టారు అని ఎవడో అంటే, ఉచ్చ ఆపుకోలేక ఊరిమీద పడ్డ కళామ్మ తల్లి కల్తీ బిడ్డలు …",favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,favour
 అర్థం పర్థం లేని ట్వీట్స్ పెట్టడం అందరితో తిట్టించుకోవడం మహా సరదా అనుకుంట అసెంబ్లీలో ఏడ్చిన పెద్దాయనకు RRR తో డిప్రెష…,favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
"నాటు  నాటు   ఎన్టీఆర్, చరణ్ స్టెప్పులు కంటే ఎలాన్ మస్క్ కారులు వేసిన నాటు నాటు స్టెప్పుకి ఫిదా అయిన రాజమౌళి! Rea…",favour
నిర్మాత DVV దానయ్య తెలుగులో దాదాపు ప్రముఖ హీరోలందరితో సినిమాలు నిర్మించారు!   …,against
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,against
" మొన్న RRR కి Oscar కోసం డబ్బులు ఖర్చుపెట్టారు అని ఎవడో అంటే, ఉచ్చ ఆపుకోలేక ఊరిమీద పడ్డ కళామ్మ తల్లి కల్తీ బిడ్డలు …",neutral
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,neutral
